Consulta de Saldos y Movimientos;;;;;;;;;
Fecha Saldo;Fecha Transacción;Descripción;Valor;Saldo;Regional / Oficina;Tipo Transacción;Oficina;Ref. Titular Cuenta;Detalles Adicionales
1/08/2026;;SALDO INICIAL;0.00;29686186.74;;;;;
1/08/2026;;SALDO FINAL;0.00;29686186.74;;;;;
2/08/2026;;SALDO INICIAL;0.00;29686186.74;;;;;
2/08/2026;;SALDO FINAL;0.00;29686186.74;;;;;
3/08/2026;;SALDO INICIAL;0.00;29686186.74;;;;;
;3/08/2026;COMPRA INTERNET;-25240200.00;;321102;N227;(BCS) Internet;536192014;
;3/08/2026;GRAVAMEN MOVS FINANCIEROS;-100961.00;;321102;N001;(BCS) Internet;536192014;
3/08/2026;;SALDO FINAL;0.00;4345025.74;;;;;
4/08/2026;;SALDO INICIAL;0.00;4345025.74;;;;;
4/08/2026;;SALDO FINAL;0.00;4345025.74;;;;;
5/08/2026;;SALDO INICIAL;0.00;4345025.74;;;;;
5/08/2026;;SALDO FINAL;0.00;4345025.74;;;;;
6/08/2026;;SALDO INICIAL;0.00;4345025.74;;;;;
;6/08/2026;TRANSFERENCIA OTRA ENTIDAD;1541788.00;;320532;N109;(BCS) ACH;2N2038012600000;000008903990342  TRANSFER  000000000000000000000000  PAGO PV AGOS 06
;6/08/2026;DB PAGO NOM Y/O PROVEE;-1784134.00;;320532;N223;(BCS) ACH;2V07214550;DEBITO POR LOTE:0007214550 PA0000747435
;6/08/2026;GRAVAMEN MOVS FINANCIEROS;-7137.00;;320532;N001;(BCS) ACH;2V07214550;DEBITO POR LOTE:0007214550 PA0000747435
;6/08/2026;TRANSFERENCIA OTRA ENTIDAD;252100906.00;;320532;N109;(BCS) ACH;2N20330727;000008300540540  PAGOS     5281       00000000000000000
;6/08/2026;TRANSFERENCIA OTRA ENTIDAD;18277822.00;;320532;N109;(BCS) ACH;2N20330729;000008300540540  PAGOS     5321       00000000000000000
;6/08/2026;TRANSFERENCIA OTRA ENTIDAD;12872873.00;;320532;N109;(BCS) ACH;2N2033373800000;000008903990342  TRASLADOS 000000000000000000000000  PAGO FACTURA 527
6/08/2026;;SALDO FINAL;0.00;287347143.74;;;;;
7/08/2026;;SALDO INICIAL;0.00;287347143.74;;;;;
7/08/2026;;SALDO FINAL;0.00;287347143.74;;;;;
8/08/2026;;SALDO INICIAL;0.00;287347143.74;;;;;
8/08/2026;;SALDO FINAL;0.00;287347143.74;;;;;
9/08/2026;;SALDO INICIAL;0.00;287347143.74;;;;;
9/08/2026;;SALDO FINAL;0.00;287347143.74;;;;;
